ticker,setor,subsetor,segmento
TECN3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios
TEKA3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
TEKA4,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
TELB3,Comunicações,Telecomunicações,Telecomunicações
TELB4,Comunicações,Telecomunicações,Telecomunicações
TEND3,Consumo Cíclico,Construção Civil,Incorporações
TESA3,Consumo não Cíclico,Agropecuária,Agricultura
TGMA3,Bens Industriais,Transporte,Transporte Rodoviário
TIET11,Utilidade Pública,Energia Elétrica,Energia Elétrica
TIET3,Utilidade Pública,Energia Elétrica,Energia Elétrica
TIET4,Utilidade Pública,Energia Elétrica,Energia Elétrica
TIMP3,Comunicações,Telecomunicações,Telecomunicações
TKNO4,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
TOTS3,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
TPIS3,Bens Industriais,Transporte,Exploração de Rodovias
TRIS3,Consumo Cíclico,Construção Civil,Incorporações
TRPL3,Utilidade Pública,Energia Elétrica,Energia Elétrica
TRPL4,Utilidade Pública,Energia Elétrica,Energia Elétrica
TUPY3,Bens Industriais,Material de Transporte,Material Rodoviário
TXRX3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
TXRX4,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
UCAS3,Consumo Cíclico,Utilidades Domésticas,Móveis
UGPA3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
UNIP3,Materiais Básicos,Químicos,Químicos Diversos
UNIP5,Materiais Básicos,Químicos,Químicos Diversos
UNIP6,Materiais Básicos,Químicos,Químicos Diversos
USIM3,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
USIM5,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
USIM6,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
VALE3,Materiais Básicos,Mineração,Minerais Metálicos
VIVA3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios
VIVR3,Consumo Cíclico,Construção Civil,Incorporações
VIVT3,Comunicações,Telecomunicações,Telecomunicações
VIVT4,Comunicações,Telecomunicações,Telecomunicações
VLID3,Bens Industriais,Serviços Diversos,Serviços Diversos
VULC3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
VVAR3,Consumo Cíclico,Comércio,Eletrodomésticos
WEGE3,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros"
WHRL3,Consumo Cíclico,Utilidades Domésticas,Eletrodomésticos
WHRL4,Consumo Cíclico,Utilidades Domésticas,Eletrodomésticos
WIZS3,Financeiro,Previdência e Seguros,Corretoras de Seguros
WLMM3,Bens Industriais,Comércio,Material de Transporte
WLMM4,Bens Industriais,Comércio,Material de Transporte
WSON33,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem
YDUQ3,Consumo Cíclico,Diversos,Serviços Educacionais
